Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|C0HKE1|H2A1B_MOUSE	C0HKE1	H2A1B_MOUSE	H2ac4	130	Mus musculus	Histone H2A type 1-B	1:Experimental evidence at protein level	26.92	1.0000	0.9990	3	0	3	10	0	10	     0	     0	     0			sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|Q64523|H2A2C_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8BFU2|H2A3_MOUSE, sp|Q8CGP5|H2A1F_MOUSE, sp|Q8CGP6|H2A1H_MOUSE, sp|Q8CGP7|H2A1K_MOUSE, sp|Q8R1M2|H2AJ_MOUSE, tr|A0A0N4SV66|A0A0N4SV66_MOUSE, tr|Q8CGP4|Q8CGP4_MOUSE
sp|D3Z4I3|RBM24_MOUSE	D3Z4I3	RBM24_MOUSE	Rbm24	236	Mus musculus	RNA-binding protein 24	1:Experimental evidence at protein level	11.02	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|Q62176|RBM38_MOUSE
sp|D3Z6Q9|BIN2_MOUSE	D3Z6Q9	BIN2_MOUSE	Bin2	489	Mus musculus	Bridging integrator 2	1:Experimental evidence at protein level	1.84	1.0000	0.9987	2	0	0	2	0	0	     0	     0	     0			tr|A0A5F8MQ05|A0A5F8MQ05_MOUSE, tr|S4R1B8|S4R1B8_MOUSE, tr|S4R270|S4R270_MOUSE
sp|D3Z7H8|CILP2_MOUSE	D3Z7H8	CILP2_MOUSE	Cilp2	1162	Mus musculus	Cartilage intermediate layer protein 2	1:Experimental evidence at protein level	1.12	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|D3Z7P3-2|GLSK_MOUSE	D3Z7P3-2	GLSK_MOUSE	Gls	603	Mus musculus	Isoform 2 of Glutaminase kidney isoform, mitochondrial		2.65	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|E9PV24-2|FIBA_MOUSE	E9PV24-2	FIBA_MOUSE	Fga	557	Mus musculus	Isoform 2 of Fibrinogen alpha chain		8.80	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0			sp|E9PV24|FIBA_MOUSE
sp|E9Q557|DESP_MOUSE	E9Q557	DESP_MOUSE	Dsp	2883	Mus musculus	Desmoplakin	1:Experimental evidence at protein level	29.97	1.0000	0.9990	84	17	84	126	23	126	     0	     0	     0	10C(57.0214), 12M(15.9949), 3C(57.0214), 4C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7M(15.9949), 8C(57.0214), 8M(15.9949), 9C(57.0214)		
sp|E9QA62|LMOD3_MOUSE	E9QA62	LMOD3_MOUSE	Lmod3	571	Mus musculus	Leiomodin-3	1:Experimental evidence at protein level	3.50	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|G3X9C2|FBX50_MOUSE	G3X9C2	FBX50_MOUSE	Nccrp1	266	Mus musculus	F-box only protein 50	1:Experimental evidence at protein level	8.65	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			tr|A0A0A0MQ97|A0A0A0MQ97_MOUSE
sp|G5E8V9|ARFP1_MOUSE	G5E8V9	ARFP1_MOUSE	Arfip1	373	Mus musculus	Arfaptin-1	1:Experimental evidence at protein level	5.63	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|O08528|HXK2_MOUSE	O08528	HXK2_MOUSE	Hk2	917	Mus musculus	Hexokinase-2	1:Experimental evidence at protein level	6.32	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	10C(57.0214), 4C(57.0214)		
sp|O08529|CAN2_MOUSE	O08529	CAN2_MOUSE	Capn2	700	Mus musculus	Calpain-2 catalytic subunit	1:Experimental evidence at protein level	4.00	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	13C(57.0214), 4C(57.0214)		
sp|O08532|CA2D1_MOUSE	O08532	CA2D1_MOUSE	Cacna2d1	1103	Mus musculus	Voltage-dependent calcium channel subunit alpha-2/delta-1	1:Experimental evidence at protein level	43.16	1.0000	0.9990	38	0	38	71	0	71	     0	     0	     0	11M(15.9949), 12C(57.0214), 14C(57.0214), 15C(57.0214), 17M(15.9949), 3C(57.0214), 3M(15.9949), 7C(57.0214), 8C(57.0214)		
sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	Mus musculus	Dihydropyrimidinase-related protein 2	1:Experimental evidence at protein level	35.84	1.0000	0.9990	12	9	12	19	16	19	     0	     0	     0	10C(57.0214), 16C(57.0214), 8C(57.0214)		
sp|O08600|NUCG_MOUSE	O08600	NUCG_MOUSE	Endog	294	Mus musculus	Endonuclease G, mitochondrial	1:Experimental evidence at protein level	26.19	1.0000	0.9990	6	6	6	9	9	9	     0	     0	     0	8C(57.0214)		
sp|O08677-2|KNG1_MOUSE	O08677-2	KNG1_MOUSE	Kng1	432	Mus musculus	Isoform LMW of Kininogen-1		38.66	1.0000	0.9990	12	0	12	23	0	23	     0	     0	     0	10C(57.0214), 11C(57.0214), 12C(57.0214), 19C(57.0214), 5C(57.0214), 8C(57.0214)		
sp|O08739|AMPD3_MOUSE	O08739	AMPD3_MOUSE	Ampd3	766	Mus musculus	AMP deaminase 3	1:Experimental evidence at protein level	4.83	1.0000	0.9990	4	0	0	4	0	0	     0	     0	     0			tr|A0A1L1SRX2|A0A1L1SRX2_MOUSE
sp|O08749|DLDH_MOUSE	O08749	DLDH_MOUSE	Dld	509	Mus musculus	Dihydrolipoyl dehydrogenase, mitochondrial	1:Experimental evidence at protein level	59.14	1.0000	0.9990	21	21	21	81	81	81	     0	     0	     0	12C(57.0214), 13C(57.0214), 14M(15.9949), 15M(15.9949), 21M(15.9949), 28C(57.0214), 2C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|O08795-2|GLU2B_MOUSE	O08795-2	GLU2B_MOUSE	Prkcsh	528	Mus musculus	Isoform 2 of Glucosidase 2 subunit beta		4.36	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0	7C(57.0214)		sp|O08795|GLU2B_MOUSE
sp|O08807|PRDX4_MOUSE	O08807	PRDX4_MOUSE	Prdx4	274	Mus musculus	Peroxiredoxin-4	1:Experimental evidence at protein level	10.58	1.0000	0.9990	3	0	0	9	0	0	     0	     0	     0			
sp|O08911|MK12_MOUSE	O08911	MK12_MOUSE	Mapk12	367	Mus musculus	Mitogen-activated protein kinase 12	1:Experimental evidence at protein level	43.60	1.0000	0.9990	13	12	13	21	20	21	     0	     0	     0	18C(57.0214)		
sp|O09061|PSB1_MOUSE	O09061	PSB1_MOUSE	Psmb1	240	Mus musculus	Proteasome subunit beta type-1	1:Experimental evidence at protein level	42.92	1.0000	0.9990	7	0	7	14	0	14	     0	     0	     0	12C(57.0214), 5C(57.0214), 8M(15.9949)		
sp|O09110-2|MP2K3_MOUSE	O09110-2	MP2K3_MOUSE	Map2k3	314	Mus musculus	Isoform 1 of Dual specificity mitogen-activated protein kinase kinase 3		5.10	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			sp|O09110|MP2K3_MOUSE
sp|O09111|NDUBB_MOUSE	O09111	NDUBB_MOUSE	Ndufb11	151	Mus musculus	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	1:Experimental evidence at protein level	37.09	1.0000	0.9990	3	3	3	9	9	9	     0	     0	     0			
sp|O09131|GSTO1_MOUSE	O09131	GSTO1_MOUSE	Gsto1	240	Mus musculus	Glutathione S-transferase omega-1	1:Experimental evidence at protein level	49.17	1.0000	0.9990	10	1	10	10	1	10	     0	     0	     0	24C(57.0214)		
sp|O09161|CASQ2_MOUSE	O09161	CASQ2_MOUSE	Casq2	415	Mus musculus	Calsequestrin-2	1:Experimental evidence at protein level	34.22	1.0000	0.9990	12	0	12	31	0	31	     0	     0	     0	11M(15.9949), 1M(15.9949), 6C(57.0214)		
sp|O09164|SODE_MOUSE	O09164	SODE_MOUSE	Sod3	251	Mus musculus	Extracellular superoxide dismutase [Cu-Zn]	1:Experimental evidence at protein level	12.35	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	11C(57.0214), 3C(57.0214), 4C(57.0214)		
sp|O09165|CASQ1_MOUSE	O09165	CASQ1_MOUSE	Casq1	405	Mus musculus	Calsequestrin-1	1:Experimental evidence at protein level	33.58	1.0000	0.9990	15	7	15	109	41	109	     0	     0	     0	15M(15.9949), 20K(156.1151), 9H(156.1151)		
sp|O09167|RL21_MOUSE	O09167	RL21_MOUSE	Rpl21	160	Mus musculus	60S ribosomal protein L21	1:Experimental evidence at protein level	27.50	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
sp|O09172|GSH0_MOUSE	O09172	GSH0_MOUSE	Gclm	274	Mus musculus	Glutamate--cysteine ligase regulatory subunit	1:Experimental evidence at protein level	5.47	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|O09174|AMACR_MOUSE	O09174	AMACR_MOUSE	Amacr	381	Mus musculus	Alpha-methylacyl-CoA racemase	1:Experimental evidence at protein level	11.02	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O35129|PHB2_MOUSE	O35129	PHB2_MOUSE	Phb2	299	Mus musculus	Prohibitin-2	1:Experimental evidence at protein level	54.52	1.0000	0.9990	14	4	14	35	8	35	     0	     0	     0	13M(15.9949), 4M(15.9949)		
sp|O35206|COFA1_MOUSE	O35206	COFA1_MOUSE	Col15a1	1367	Mus musculus	Collagen alpha-1(XV) chain	1:Experimental evidence at protein level	3.22	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	5C(57.0214)		tr|A2AJY2|A2AJY2_MOUSE
sp|O35215|DOPD_MOUSE	O35215	DOPD_MOUSE	Ddt	118	Mus musculus	D-dopachrome decarboxylase	1:Experimental evidence at protein level	41.53	1.0000	0.9990	3	1	3	5	2	5	     0	     0	     0	2C(57.0214), 5C(57.0214)		
sp|O35226|PSMD4_MOUSE	O35226	PSMD4_MOUSE	Psmd4	376	Mus musculus	26S proteasome non-ATPase regulatory subunit 4	1:Experimental evidence at protein level	40.69	1.0000	0.9990	10	0	10	19	0	19	     0	     0	     0	12C(57.0214), 15M(15.9949), 16C(57.0214), 4C(57.0214), 8C(57.0214)		
sp|O35295|PURB_MOUSE	O35295	PURB_MOUSE	Purb	324	Mus musculus	Transcriptional activator protein Pur-beta	1:Experimental evidence at protein level	21.60	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
sp|O35343|IMA3_MOUSE	O35343	IMA3_MOUSE	Kpna4	521	Mus musculus	Importin subunit alpha-3	1:Experimental evidence at protein level	22.65	1.0000	0.9990	5	0	3	5	0	3	     0	     0	     0	19C(57.0214)		
sp|O35344|IMA4_MOUSE	O35344	IMA4_MOUSE	Kpna3	521	Mus musculus	Importin subunit alpha-4	1:Experimental evidence at protein level	29.37	1.0000	0.9990	7	5	7	8	6	8	     0	     0	     0	10C(57.0214), 16C(57.0214), 19C(57.0214), 27C(57.0214)		
sp|O35345|IMA7_MOUSE	O35345	IMA7_MOUSE	Kpna6	536	Mus musculus	Importin subunit alpha-7	1:Experimental evidence at protein level	1.12	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			tr|Q4FJZ2|Q4FJZ2_MOUSE
sp|O35350|CAN1_MOUSE	O35350	CAN1_MOUSE	Capn1	713	Mus musculus	Calpain-1 catalytic subunit	1:Experimental evidence at protein level	3.37	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O35367|KERA_MOUSE	O35367	KERA_MOUSE	Kera	351	Mus musculus	Keratocan	2:Experimental evidence at transcript level	45.01	1.0000	0.9990	12	12	12	28	28	28	     0	     0	     0	14C(57.0214), 17C(57.0214), 19C(57.0214), 2C(57.0214), 4C(57.0214)		
sp|O35381|AN32A_MOUSE	O35381	AN32A_MOUSE	Anp32a	247	Mus musculus	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1:Experimental evidence at protein level	18.62	1.0000	0.9990	5	0	5	5	0	5	     0	     0	     0	7C(57.0214)		tr|D3Z7M9|D3Z7M9_MOUSE
sp|O35435|PYRD_MOUSE	O35435	PYRD_MOUSE	Dhodh	395	Mus musculus	Dihydroorotate dehydrogenase (quinone), mitochondrial	1:Experimental evidence at protein level	5.82	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|O35459|ECH1_MOUSE	O35459	ECH1_MOUSE	Ech1	327	Mus musculus	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	1:Experimental evidence at protein level	47.09	1.0000	0.9990	10	3	10	12	4	12	     0	     0	     0	2C(57.0214), 5C(57.0214)		
sp|O35593|PSDE_MOUSE	O35593	PSDE_MOUSE	Psmd14	310	Mus musculus	26S proteasome non-ATPase regulatory subunit 14	1:Experimental evidence at protein level	22.90	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	15C(57.0214)		
sp|O35639|ANXA3_MOUSE	O35639	ANXA3_MOUSE	Anxa3	323	Mus musculus	Annexin A3	1:Experimental evidence at protein level	39.32	1.0000	0.9990	9	3	8	12	3	10	     0	     0	     0	13C(57.0214)		
sp|O35685|NUDC_MOUSE	O35685	NUDC_MOUSE	Nudc	332	Mus musculus	Nuclear migration protein nudC	1:Experimental evidence at protein level	21.99	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0			
sp|O35737|HNRH1_MOUSE	O35737	HNRH1_MOUSE	Hnrnph1	449	Mus musculus	Heterogeneous nuclear ribonucleoprotein H	1:Experimental evidence at protein level	27.62	1.0000	0.9990	8	0	8	13	0	13	     0	     0	     0	15C(57.0214), 5C(57.0214), 6C(57.0214)		tr|Q8C2Q7|Q8C2Q7_MOUSE
sp|O35855|BCAT2_MOUSE	O35855	BCAT2_MOUSE	Bcat2	393	Mus musculus	Branched-chain-amino-acid aminotransferase, mitochondrial	1:Experimental evidence at protein level	25.19	1.0000	0.9990	8	0	8	9	0	9	     0	     0	     0	12C(57.0214), 14C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|O35857|TIM44_MOUSE	O35857	TIM44_MOUSE	Timm44	452	Mus musculus	Mitochondrial import inner membrane translocase subunit TIM44	1:Experimental evidence at protein level	21.90	1.0000	0.9990	8	8	8	10	10	10	     0	     0	     0			
sp|O35864|CSN5_MOUSE	O35864	CSN5_MOUSE	Cops5	334	Mus musculus	COP9 signalosome complex subunit 5	1:Experimental evidence at protein level	51.20	1.0000	0.9990	11	4	11	15	6	15	     0	     0	     0	8C(57.0214)		
sp|O35945|AL1A7_MOUSE	O35945	AL1A7_MOUSE	Aldh1a7	501	Mus musculus	Aldehyde dehydrogenase, cytosolic 1	1:Experimental evidence at protein level	10.38	1.0000	0.9990	6	2	2	7	2	2	     0	     0	     0			
sp|O35972|RM23_MOUSE	O35972	RM23_MOUSE	Mrpl23	146	Mus musculus	39S ribosomal protein L23, mitochondrial	1:Experimental evidence at protein level	10.27	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|O54724|CAVN1_MOUSE	O54724	CAVN1_MOUSE	Cavin1	392	Mus musculus	Caveolae-associated protein 1	1:Experimental evidence at protein level	40.31	1.0000	0.9990	17	17	17	66	66	66	     0	     0	     0	2M(15.9949), 4M(15.9949)		
sp|O54734|OST48_MOUSE	O54734	OST48_MOUSE	Ddost	441	Mus musculus	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1:Experimental evidence at protein level	16.33	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0			
sp|O54786-2|DFFA_MOUSE	O54786-2	DFFA_MOUSE	Dffa	265	Mus musculus	Isoform ICAD-S of DNA fragmentation factor subunit alpha		6.04	1.0000	0.9990	1	0	1	2	0	2	     0	     0	     0			sp|O54786|DFFA_MOUSE
sp|O54950|AAKG1_MOUSE	O54950	AAKG1_MOUSE	Prkag1	330	Mus musculus	5'-AMP-activated protein kinase subunit gamma-1	1:Experimental evidence at protein level	28.48	1.0000	0.9990	8	4	8	10	5	10	     0	     0	     0			
sp|O54984|GET3_MOUSE	O54984	GET3_MOUSE	Get3	348	Mus musculus	ATPase GET3	1:Experimental evidence at protein level	22.13	1.0000	0.9990	6	3	6	6	3	6	     0	     0	     0	3C(57.0214), 5C(57.0214)		
sp|O55003|BNIP3_MOUSE	O55003	BNIP3_MOUSE	Bnip3	187	Mus musculus	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	1:Experimental evidence at protein level	12.30	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			tr|A0A1B0GT26|A0A1B0GT26_MOUSE
sp|O55042-2|SYUA_MOUSE	O55042-2	SYUA_MOUSE	Snca	121	Mus musculus	Isoform 2 of Alpha-synuclein		18.18	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			sp|O55042|SYUA_MOUSE
sp|O55131|SEPT7_MOUSE	O55131	SEPT7_MOUSE	Septin7	436	Mus musculus	Septin-7	1:Experimental evidence at protein level	14.45	1.0000	0.9990	4	0	4	6	0	6	     0	     0	     0	9C(57.0214)		tr|E9Q1G8|E9Q1G8_MOUSE, tr|E9Q9F5|E9Q9F5_MOUSE
sp|O55135|IF6_MOUSE	O55135	IF6_MOUSE	Eif6	245	Mus musculus	Eukaryotic translation initiation factor 6	1:Experimental evidence at protein level	31.02	1.0000	0.9990	3	2	3	5	4	5	     0	     0	     0	10C(57.0214)		
sp|O55143-2|AT2A2_MOUSE	O55143-2	AT2A2_MOUSE	Atp2a2	998	Mus musculus	Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2		13.63	1.0000	0.9990	10	0	1	27	0	1	     0	     0	     0	12C(57.0214)		sp|O55143|AT2A2_MOUSE
sp|O55226|CHAD_MOUSE	O55226	CHAD_MOUSE	Chad	358	Mus musculus	Chondroadherin	2:Experimental evidence at transcript level	1.40	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|O55234|PSB5_MOUSE	O55234	PSB5_MOUSE	Psmb5	264	Mus musculus	Proteasome subunit beta type-5	1:Experimental evidence at protein level	45.08	1.0000	0.9990	10	4	10	15	7	15	     0	     0	     0	19C(57.0214)		
sp|O70250|PGAM2_MOUSE	O70250	PGAM2_MOUSE	Pgam2	253	Mus musculus	Phosphoglycerate mutase 2	1:Experimental evidence at protein level	83.00	1.0000	0.9990	22	18	22	207	174	207	     0	     0	     0	10M(15.9949), 11M(15.9949), 12C(156.1151), 12C(57.0214), 12M(15.9949), 13C(57.0214), 18K(156.1151), 2C(57.0214), 2M(15.9949), 35M(15.9949), 5K(156.1151), 5M(15.9949), 6C(57.0214), 9M(15.9949)		
sp|O70251|EF1B_MOUSE	O70251	EF1B_MOUSE	Eef1b	225	Mus musculus	Elongation factor 1-beta	1:Experimental evidence at protein level	36.89	1.0000	0.9990	5	0	5	8	0	8	     0	     0	     0	28C(57.0214), 5C(57.0214)		
sp|O70325-2|GPX4_MOUSE	O70325-2	GPX4_MOUSE	Gpx4	170	Mus musculus	Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase		20.00	1.0000	0.9990	3	0	3	4	0	4	     0	     0	     0	6C(57.0214)		sp|O70325-3|GPX4_MOUSE, sp|O70325|GPX4_MOUSE, tr|S4R1E5|S4R1E5_MOUSE
sp|O70400|PDLI1_MOUSE	O70400	PDLI1_MOUSE	Pdlim1	327	Mus musculus	PDZ and LIM domain protein 1	1:Experimental evidence at protein level	43.73	1.0000	0.9990	9	3	9	13	6	13	     0	     0	     0	10C(57.0214), 11C(57.0214), 2C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O70435|PSA3_MOUSE	O70435	PSA3_MOUSE	Psma3	255	Mus musculus	Proteasome subunit alpha type-3	1:Experimental evidence at protein level	37.25	1.0000	0.9990	10	4	10	15	5	15	     0	     0	     0			
sp|O70456|1433S_MOUSE	O70456	1433S_MOUSE	Sfn	248	Mus musculus	14-3-3 protein sigma	1:Experimental evidence at protein level	22.58	1.0000	0.9990	7	3	3	17	3	3	     0	     0	     0			
sp|O70493|SNX12_MOUSE	O70493	SNX12_MOUSE	Snx12	165	Mus musculus	Sorting nexin-12	1:Experimental evidence at protein level	4.24	1.0000	0.9986	1	0	0	2	0	0	     0	     0	     0			tr|Q3TGS7|Q3TGS7_MOUSE, tr|Q3V2H3|Q3V2H3_MOUSE, tr|Q6ZWQ5|Q6ZWQ5_MOUSE
sp|O70548|TELT_MOUSE	O70548	TELT_MOUSE	Tcap	167	Mus musculus	Telethonin	1:Experimental evidence at protein level	22.75	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	13C(57.0214)		
sp|O70571|PDK4_MOUSE	O70571	PDK4_MOUSE	Pdk4	412	Mus musculus	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial	1:Experimental evidence at protein level	13.83	1.0000	0.9990	4	3	4	5	4	5	     0	     0	     0	11C(57.0214)		
sp|O70591|PFD2_MOUSE	O70591	PFD2_MOUSE	Pfdn2	154	Mus musculus	Prefoldin subunit 2	1:Experimental evidence at protein level	22.73	1.0000	0.9990	3	1	3	4	1	4	     0	     0	     0			
sp|O70622-2|RTN2_MOUSE	O70622-2	RTN2_MOUSE	Rtn2	204	Mus musculus	Isoform 2 of Reticulon-2		41.18	1.0000	0.9990	6	1	6	13	3	13	     0	     0	     0			
sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens	Keratin, type I cuticular Ha6	1:Experimental evidence at protein level	1.50	1.0000	0.9990	1	0	0	6	0	0	     0	     0	     0			
sp|O88342|WDR1_MOUSE	O88342	WDR1_MOUSE	Wdr1	606	Mus musculus	WD repeat-containing protein 1	1:Experimental evidence at protein level	24.09	1.0000	0.9990	9	7	9	9	7	9	     0	     0	     0	12C(57.0214), 9C(57.0214)		
sp|O88346-2|TNNT1_MOUSE	O88346-2	TNNT1_MOUSE	Tnnt1	261	Mus musculus	Isoform 2 of Troponin T, slow skeletal muscle		31.42	1.0000	0.9990	14	0	14	46	0	46	     0	     0	     0	1K(156.1151), 5M(15.9949), 9M(15.9949)		sp|O88346-3|TNNT1_MOUSE, sp|O88346|TNNT1_MOUSE, tr|E9Q688|E9Q688_MOUSE
sp|O88441|MTX2_MOUSE	O88441	MTX2_MOUSE	Mtx2	263	Mus musculus	Metaxin-2	1:Experimental evidence at protein level	20.53	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	12C(57.0214), 13C(57.0214)		
sp|O88447|KLC1_MOUSE	O88447	KLC1_MOUSE	Klc1	541	Mus musculus	Kinesin light chain 1	1:Experimental evidence at protein level	3.33	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
sp|O88456|CPNS1_MOUSE	O88456	CPNS1_MOUSE	Capns1	268	Mus musculus	Calpain small subunit 1	1:Experimental evidence at protein level	32.84	1.0000	0.9990	6	1	6	11	3	11	     0	     0	     0	16C(57.0214), 9C(57.0214)		
sp|O88487|DC1I2_MOUSE	O88487	DC1I2_MOUSE	Dync1i2	612	Mus musculus	Cytoplasmic dynein 1 intermediate chain 2	1:Experimental evidence at protein level	25.65	1.0000	0.9990	8	0	8	8	0	8	     0	     0	     0	2C(57.0214), 30C(57.0214)		tr|A2BFF9|A2BFF9_MOUSE, tr|Q3TPJ8|Q3TPJ8_MOUSE
sp|O88531|PPT1_MOUSE	O88531	PPT1_MOUSE	Ppt1	306	Mus musculus	Palmitoyl-protein thioesterase 1	1:Experimental evidence at protein level	5.88	1.0000	0.9990	1	0	1	2	0	2	     0	     0	     0			
sp|O88543|CSN3_MOUSE	O88543	CSN3_MOUSE	Cops3	423	Mus musculus	COP9 signalosome complex subunit 3	1:Experimental evidence at protein level	12.06	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	10C(57.0214)		
sp|O88544|CSN4_MOUSE	O88544	CSN4_MOUSE	Cops4	406	Mus musculus	COP9 signalosome complex subunit 4	1:Experimental evidence at protein level	44.09	1.0000	0.9990	12	2	12	16	2	16	     0	     0	     0	5C(57.0214), 7C(57.0214)		
